Cebpa, Cebpb, E2A_protein_active, Foxo1_gene
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 1
1, 0, 0, 0
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
