MPI_Bacterium, TTSSI, Th2I_Bacterium, TrI_Bacterium, IL10I_Bacterium
0, 0, 0, 0, 0
0, 0, 0, 1, 1
0, 0, 1, 0, 0
0, 0, 1, 1, 1
0, 1, 0, 0, 0
0, 1, 0, 1, 1
0, 1, 1, 0, 1
0, 1, 1, 1, 1
1, 0, 0, 0, 1
1, 0, 0, 1, 1
1, 0, 1, 0, 1
1, 0, 1, 1, 1
1, 1, 0, 0, 1
1, 1, 0, 1, 1
1, 1, 1, 0, 1
1, 1, 1, 1, 1
