Ga_1213, Gbg_1213, alpha_1213R, Gbg_1213
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
