EGFR_EGFR_EGF_PM, EGFR_EGFR_TGFa_PM, EGFR_Ub, Eps15
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
