EGFR_EGFR_EGF_End, EGFR_EGFR_EGF_Lysosome, EGFR_EGFR_EGF_MVB, EGFR_EGFR_EGF_MVB
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
