EGFR_ErbB3, ErbB2_ErbB3, ErbB3_ErbB4, ErbB3_Y1035
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
