ErbB2Deg_Contr, ErbB2_ErbB3, ErbB2_Ub, ErbB2_Lysosome
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 1
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 1
1, 1, 1, 1
