MAP2K4_Mkk4, MAP2K7_MKK7, MAP3K1_Mekk1, MAPK8_JNK
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
