PDPK1, PIP3, PPP2R4_PP2A, vpr, AKT
0, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 0
0, 0, 1, 1, 0
0, 1, 0, 0, 1
0, 1, 0, 1, 1
0, 1, 1, 0, 1
0, 1, 1, 1, 1
1, 0, 0, 0, 1
1, 0, 0, 1, 1
1, 0, 1, 0, 1
1, 0, 1, 1, 1
1, 1, 0, 0, 1
1, 1, 0, 1, 1
1, 1, 1, 0, 1
1, 1, 1, 1, 1
