MAP3K1_Mekk1, MAP3K1_Mlk3, MAP3K7_TAK1, MAP2K4_Mkk4
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
