akt, ck2, ikkab_nemo, dum_ikkab_nemo_akt_or_ck2_p65
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 0
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
