ck2, ikkaa, ikkb_a, nik, ikba_degr
0, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 1
0, 0, 1, 1, 1
0, 1, 0, 0, 0
0, 1, 0, 1, 1
0, 1, 1, 0, 1
0, 1, 1, 1, 1
1, 0, 0, 0, 1
1, 0, 0, 1, 1
1, 0, 1, 0, 1
1, 0, 1, 1, 1
1, 1, 0, 0, 1
1, 1, 0, 1, 1
1, 1, 1, 0, 1
1, 1, 1, 1, 1
