1	Pax5
2	NF-kB
3	Blimp1
4	Bach2
5	Bcl6
6	STAT3
7	STAT5
8	STAT6
9	CD40
10	AID
11	Irf4
12	IL-2R
13	BCR
14	IL-21R
15	ERK
16	XBP1
17	IL-4R
1000001	Ag
1000002	IL-2
1000003	IL-4
1000004	IL-21
1000005	CD40L
