Foxc1_2, Mesp1, Tbx1, Fgf8
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
