CASP3, DISC-FAS, DISC-TNF, cFLIP, CASP8
0, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 1
0, 0, 1, 1, 0
0, 1, 0, 0, 1
0, 1, 0, 1, 0
0, 1, 1, 0, 1
0, 1, 1, 1, 0
1, 0, 0, 0, 1
1, 0, 0, 1, 0
1, 0, 1, 0, 1
1, 0, 1, 1, 0
1, 1, 0, 0, 1
1, 1, 0, 1, 0
1, 1, 1, 0, 1
1, 1, 1, 1, 0
