ASK1, MLK1, MLK2, MLK3, Mekk1, Mekk2, Mekk3, Mekk4, MKK7
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 1, 0, 0
0, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 1, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 1, 1, 0, 1, 0, 0
0, 0, 0, 1, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 1, 1, 1, 0, 1, 0
0, 0, 0, 1, 1, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 1, 0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 0
0, 0, 1, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 1, 1, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 1, 0
0, 0, 1, 0, 1, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 1, 1, 0
0, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 0
0, 0, 1, 1, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 1, 1, 0
0, 0, 1, 1, 0, 1, 0, 0, 0
0, 0, 1, 1, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 1, 1, 0, 0
0, 0, 1, 1, 0, 1, 1, 1, 0
0, 0, 1, 1, 1, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 0
0, 0, 1, 1, 1, 0, 1, 0, 0
0, 0, 1, 1, 1, 0, 1, 1, 0
0, 0, 1, 1, 1, 1, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 1, 0
0, 0, 1, 1, 1, 1, 1, 0, 0
0, 0, 1, 1, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 0, 1, 0
0, 1, 0, 0, 0, 0, 1, 0, 0
0, 1, 0, 0, 0, 0, 1, 1, 0
0, 1, 0, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 1, 0, 1, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 0, 0, 1, 1, 1, 0
0, 1, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0, 0, 1, 0
0, 1, 0, 0, 1, 0, 1, 0, 0
0, 1, 0, 0, 1, 0, 1, 1, 0
0, 1, 0, 0, 1, 1, 0, 0, 0
0, 1, 0, 0, 1, 1, 0, 1, 0
0, 1, 0, 0, 1, 1, 1, 0, 0
0, 1, 0, 0, 1, 1, 1, 1, 0
0, 1, 0, 1, 0, 0, 0, 0, 0
0, 1, 0, 1, 0, 0, 0, 1, 0
0, 1, 0, 1, 0, 0, 1, 0, 0
0, 1, 0, 1, 0, 0, 1, 1, 0
0, 1, 0, 1, 0, 1, 0, 0, 0
0, 1, 0, 1, 0, 1, 0, 1, 0
0, 1, 0, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 1, 1, 1, 0
0, 1, 0, 1, 1, 0, 0, 0, 0
0, 1, 0, 1, 1, 0, 0, 1, 0
0, 1, 0, 1, 1, 0, 1, 0, 0
0, 1, 0, 1, 1, 0, 1, 1, 0
0, 1, 0, 1, 1, 1, 0, 0, 0
0, 1, 0, 1, 1, 1, 0, 1, 0
0, 1, 0, 1, 1, 1, 1, 0, 0
0, 1, 0, 1, 1, 1, 1, 1, 0
0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 0, 1, 0
0, 1, 1, 0, 0, 0, 1, 0, 0
0, 1, 1, 0, 0, 0, 1, 1, 0
0, 1, 1, 0, 0, 1, 0, 0, 0
0, 1, 1, 0, 0, 1, 0, 1, 0
0, 1, 1, 0, 0, 1, 1, 0, 0
0, 1, 1, 0, 0, 1, 1, 1, 0
0, 1, 1, 0, 1, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 0, 1, 0
0, 1, 1, 0, 1, 0, 1, 0, 0
0, 1, 1, 0, 1, 0, 1, 1, 0
0, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1, 0, 1, 0
0, 1, 1, 0, 1, 1, 1, 0, 0
0, 1, 1, 0, 1, 1, 1, 1, 0
0, 1, 1, 1, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 1, 0
0, 1, 1, 1, 0, 0, 1, 0, 0
0, 1, 1, 1, 0, 0, 1, 1, 0
0, 1, 1, 1, 0, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 0, 1, 0
0, 1, 1, 1, 0, 1, 1, 0, 0
0, 1, 1, 1, 0, 1, 1, 1, 0
0, 1, 1, 1, 1, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 0, 1, 0
0, 1, 1, 1, 1, 0, 1, 0, 0
0, 1, 1, 1, 1, 0, 1, 1, 0
0, 1, 1, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 1, 1, 0, 1, 0
0, 1, 1, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 0, 0, 1, 0, 1
1, 0, 0, 0, 0, 0, 1, 1, 1
1, 0, 0, 0, 0, 1, 0, 0, 1
1, 0, 0, 0, 0, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 1, 0, 1
1, 0, 0, 0, 0, 1, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 1, 1
1, 0, 0, 0, 1, 0, 1, 0, 1
1, 0, 0, 0, 1, 0, 1, 1, 1
1, 0, 0, 0, 1, 1, 0, 0, 1
1, 0, 0, 0, 1, 1, 0, 1, 1
1, 0, 0, 0, 1, 1, 1, 0, 1
1, 0, 0, 0, 1, 1, 1, 1, 1
1, 0, 0, 1, 0, 0, 0, 0, 1
1, 0, 0, 1, 0, 0, 0, 1, 1
1, 0, 0, 1, 0, 0, 1, 0, 1
1, 0, 0, 1, 0, 0, 1, 1, 1
1, 0, 0, 1, 0, 1, 0, 0, 1
1, 0, 0, 1, 0, 1, 0, 1, 1
1, 0, 0, 1, 0, 1, 1, 0, 1
1, 0, 0, 1, 0, 1, 1, 1, 1
1, 0, 0, 1, 1, 0, 0, 0, 1
1, 0, 0, 1, 1, 0, 0, 1, 1
1, 0, 0, 1, 1, 0, 1, 0, 1
1, 0, 0, 1, 1, 0, 1, 1, 1
1, 0, 0, 1, 1, 1, 0, 0, 1
1, 0, 0, 1, 1, 1, 0, 1, 1
1, 0, 0, 1, 1, 1, 1, 0, 1
1, 0, 0, 1, 1, 1, 1, 1, 1
1, 0, 1, 0, 0, 0, 0, 0, 1
1, 0, 1, 0, 0, 0, 0, 1, 1
1, 0, 1, 0, 0, 0, 1, 0, 1
1, 0, 1, 0, 0, 0, 1, 1, 1
1, 0, 1, 0, 0, 1, 0, 0, 1
1, 0, 1, 0, 0, 1, 0, 1, 1
1, 0, 1, 0, 0, 1, 1, 0, 1
1, 0, 1, 0, 0, 1, 1, 1, 1
1, 0, 1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 0, 0, 1
1, 0, 1, 0, 1, 1, 0, 1, 1
1, 0, 1, 0, 1, 1, 1, 0, 1
1, 0, 1, 0, 1, 1, 1, 1, 1
1, 0, 1, 1, 0, 0, 0, 0, 1
1, 0, 1, 1, 0, 0, 0, 1, 1
1, 0, 1, 1, 0, 0, 1, 0, 1
1, 0, 1, 1, 0, 0, 1, 1, 1
1, 0, 1, 1, 0, 1, 0, 0, 1
1, 0, 1, 1, 0, 1, 0, 1, 1
1, 0, 1, 1, 0, 1, 1, 0, 1
1, 0, 1, 1, 0, 1, 1, 1, 1
1, 0, 1, 1, 1, 0, 0, 0, 1
1, 0, 1, 1, 1, 0, 0, 1, 1
1, 0, 1, 1, 1, 0, 1, 0, 1
1, 0, 1, 1, 1, 0, 1, 1, 1
1, 0, 1, 1, 1, 1, 0, 0, 1
1, 0, 1, 1, 1, 1, 0, 1, 1
1, 0, 1, 1, 1, 1, 1, 0, 1
1, 0, 1, 1, 1, 1, 1, 1, 1
1, 1, 0, 0, 0, 0, 0, 0, 1
1, 1, 0, 0, 0, 0, 0, 1, 1
1, 1, 0, 0, 0, 0, 1, 0, 1
1, 1, 0, 0, 0, 0, 1, 1, 1
1, 1, 0, 0, 0, 1, 0, 0, 1
1, 1, 0, 0, 0, 1, 0, 1, 1
1, 1, 0, 0, 0, 1, 1, 0, 1
1, 1, 0, 0, 0, 1, 1, 1, 1
1, 1, 0, 0, 1, 0, 0, 0, 1
1, 1, 0, 0, 1, 0, 0, 1, 1
1, 1, 0, 0, 1, 0, 1, 0, 1
1, 1, 0, 0, 1, 0, 1, 1, 1
1, 1, 0, 0, 1, 1, 0, 0, 1
1, 1, 0, 0, 1, 1, 0, 1, 1
1, 1, 0, 0, 1, 1, 1, 0, 1
1, 1, 0, 0, 1, 1, 1, 1, 1
1, 1, 0, 1, 0, 0, 0, 0, 1
1, 1, 0, 1, 0, 0, 0, 1, 1
1, 1, 0, 1, 0, 0, 1, 0, 1
1, 1, 0, 1, 0, 0, 1, 1, 1
1, 1, 0, 1, 0, 1, 0, 0, 1
1, 1, 0, 1, 0, 1, 0, 1, 1
1, 1, 0, 1, 0, 1, 1, 0, 1
1, 1, 0, 1, 0, 1, 1, 1, 1
1, 1, 0, 1, 1, 0, 0, 0, 1
1, 1, 0, 1, 1, 0, 0, 1, 1
1, 1, 0, 1, 1, 0, 1, 0, 1
1, 1, 0, 1, 1, 0, 1, 1, 1
1, 1, 0, 1, 1, 1, 0, 0, 1
1, 1, 0, 1, 1, 1, 0, 1, 1
1, 1, 0, 1, 1, 1, 1, 0, 1
1, 1, 0, 1, 1, 1, 1, 1, 1
1, 1, 1, 0, 0, 0, 0, 0, 1
1, 1, 1, 0, 0, 0, 0, 1, 1
1, 1, 1, 0, 0, 0, 1, 0, 1
1, 1, 1, 0, 0, 0, 1, 1, 1
1, 1, 1, 0, 0, 1, 0, 0, 1
1, 1, 1, 0, 0, 1, 0, 1, 1
1, 1, 1, 0, 0, 1, 1, 0, 1
1, 1, 1, 0, 0, 1, 1, 1, 1
1, 1, 1, 0, 1, 0, 0, 0, 1
1, 1, 1, 0, 1, 0, 0, 1, 1
1, 1, 1, 0, 1, 0, 1, 0, 1
1, 1, 1, 0, 1, 0, 1, 1, 1
1, 1, 1, 0, 1, 1, 0, 0, 1
1, 1, 1, 0, 1, 1, 0, 1, 1
1, 1, 1, 0, 1, 1, 1, 0, 1
1, 1, 1, 0, 1, 1, 1, 1, 1
1, 1, 1, 1, 0, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 0, 1, 1
1, 1, 1, 1, 0, 0, 1, 0, 1
1, 1, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
1, 1, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 1, 0, 1, 1, 1, 1
1, 1, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 1, 1, 0, 0, 1, 1
1, 1, 1, 1, 1, 0, 1, 0, 1
1, 1, 1, 1, 1, 0, 1, 1, 1
1, 1, 1, 1, 1, 1, 0, 0, 1
1, 1, 1, 1, 1, 1, 0, 1, 1
1, 1, 1, 1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 1, 1, 1
