1	BORA
2	MT
3	Cytokinesis
4	AURKAPresent
5	CDC25B
6	CentrosomeMat
7	STMN
8	ENSA
9	PP1
10	GWL_MASTL
11	WEE1
12	SpindleAssembly
13	PLK1
14	NEDD9
15	TPX2
16	CDK1CCNBComplex
17	AURKAActive
18	hCPEB
19	PP2A
1000001	STMNCanAct
1000002	MTCanAct
1000003	AJUBA
1000004	GSK3B
