CTNNB1, GATA4, UGR, WNT4, WT1pKTS
0, 0, 0, 0, 0
0, 0, 0, 1, 0
0, 0, 1, 0, 1
0, 0, 1, 1, 1
0, 1, 0, 0, 1
0, 1, 0, 1, 1
0, 1, 1, 0, 1
0, 1, 1, 1, 1
1, 0, 0, 0, 0
1, 0, 0, 1, 0
1, 0, 1, 0, 1
1, 0, 1, 1, 0
1, 1, 0, 0, 1
1, 1, 0, 1, 0
1, 1, 1, 0, 1
1, 1, 1, 1, 0
