IL4, IL4_e, SOCS1, IL4R
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 0
1, 1, 0, 1
1, 1, 1, 1
