1	CyclinD
2	RSK
3	cJUN
4	SOS
5	MMP1_10
6	Mek
7	STAT3
8	Erk
9	Mkk6
10	Ca
11	IL8
12	Grb2
13	PTGS2
14	CTGF
15	ECM
16	Ras
17	EGR1
18	DOCK180
19	ATF2
20	p38
21	CellMigration
22	Mekk7
23	Fak
24	uPAR
25	CDK2
26	Shc
27	Mekk1
28	PAK3
29	CDKN2A
30	JNK
31	Integrins
32	Elk1
33	Mkk4
34	Mekk4
35	CREB
36	uPA
37	CDKN1A
38	PAK1
39	PI3K
40	IP3
41	Proliferation
42	CRKL
43	Rap1
44	CCL20
45	Mkk3
46	ETS
47	PKC
48	cFOS
49	C3G
50	PAK2
51	MET
52	DAG
53	MLK3
54	Akt
55	HBEGF
56	EGFR
57	cMYC
58	Plasmin
59	Raf
60	AP1
61	Cdc42_Rac1
62	PLC_g
1000001	PTEN
1000002	AKAP12
1000003	PAI-1
1000004	DUSP1
1000005	EGF
1000006	HGF
