CYCB1;1, KRP1, MYB3R1/4, MYB77, MYB3R1/4
0, 0, 0, 0, 0
0, 0, 0, 1, 1
0, 0, 1, 0, 0
0, 0, 1, 1, 1
0, 1, 0, 0, 0
0, 1, 0, 1, 1
0, 1, 1, 0, 0
0, 1, 1, 1, 1
1, 0, 0, 0, 0
1, 0, 0, 1, 1
1, 0, 1, 0, 1
1, 0, 1, 1, 1
1, 1, 0, 0, 0
1, 1, 0, 1, 1
1, 1, 1, 0, 0
1, 1, 1, 1, 1
