Bb, IgA_Bacterium, IgG_Bacterium, AgAb_Bacterium
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
