CTNNB1, DKK1, WNT4, RSPO1
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
