CDKB1;1, CYCA2;3, E2Fa, E2Fc, E2Fa
0, 0, 0, 0, 1
0, 0, 0, 1, 0
0, 0, 1, 0, 1
0, 0, 1, 1, 1
0, 1, 0, 0, 1
0, 1, 0, 1, 0
0, 1, 1, 0, 1
0, 1, 1, 1, 1
1, 0, 0, 0, 1
1, 0, 0, 1, 0
1, 0, 1, 0, 1
1, 0, 1, 1, 1
1, 1, 0, 0, 0
1, 1, 0, 1, 0
1, 1, 1, 0, 0
1, 1, 1, 1, 0
