Cebpa, Cebpb, Spi1, Mef2c
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 1
1, 0, 0, 0
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
