PTC_protein, hh_external, ptc, PTC_protein
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 0
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 1
