CD40_CD40LG_TRAF3, TNFSF13B_TNFRSF17_TRAF5, TNF_TNFRSF1B_TRAF2, MAP3K14
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
