CHUK_CHUK, NFKB2p100, RELB, NFKB2p100_RELBcytoplasm
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 1
