IKBKE, TBK1, TLR4_TICAM1_TICAM2, IKBKE_TBK1
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 1
