TICAM1, TICAM2, TLR3_TLR3, TLR3_TICAM1_TICAM2
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 1
