RIPK1, TNF_TNFRSF1A_FADD_TRADD, TRAF2cytoplasm, TNF_TNFRSF1A_FADD_TRADD_TRAF2_RIPK1
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 1
