CyclinD1, GSK3a_b, p53, GSK3a_b
0, 0, 0, 0
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 1
1, 1, 1, 1
