NS2_CellularFactor, NS2_cyto, pro_vRNP_HA_M1_nuc, pro_vRNP_HA_M1_cyto
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 1
