PA_cyto, PB1_PA_Interface_Inhibitor, PB1_cyto, PB1_PA_cyto
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
