Acetoacetyl_CoA, Acetyl_CoA, HMG_CoA_Synthase, HMG_CoA
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 1
