Mth1p, RGT1, Std1p, Rgt1p
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 1
1, 0, 0, 0
1, 0, 1, 0
1, 1, 0, 1
1, 1, 1, 1
