Mth1p, Rgt1p, Std1p, HXT1
0, 0, 0, 1
0, 0, 1, 1
0, 1, 0, 1
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 1
1, 1, 0, 0
1, 1, 1, 0
