GAL80, Gal1p, Gal3p, Gal80p
0, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
0, 1, 1, 0
1, 0, 0, 1
1, 0, 1, 0
1, 1, 0, 0
1, 1, 1, 0
